linguagem,caso,tamanho,n,arestas,rodadas,media_s,desvio_s,min_s,max_s
python,melhor,pequeno,300,299,30,8.688476666666641e-05,3.307712541020585e-06,8.425000000000099e-05,9.845900000000213e-05
python,melhor,medio,1500,1499,30,0.0004862346666666658,5.937433928450234e-05,0.00043391599999999947,0.0007017079999999953
python,melhor,grande,4000,3999,30,0.0014190290999999994,5.8716704057146884e-05,0.0013224169999999924,0.0015577499999999966
python,medio,pequeno,300,1706,30,0.0002472181000000032,1.3605512413141579e-05,0.00022691699999999315,0.0002856249999999977
python,medio,medio,1500,10933,30,0.001848159699999997,7.73718089496787e-05,0.0017148750000000046,0.0020907089999999684
python,medio,grande,4000,32834,30,0.006988534799999872,0.00033286523971735475,0.006598583999999796,0.008119041000000493
python,pior,pequeno,300,44850,30,0.003170676366666747,0.0003627136240202936,0.0029166669999991512,0.00465166700000097
python,pior,medio,1500,1124250,30,0.18148735833333315,0.001891800339489124,0.17625495799999946,0.18709595900000053
python,pior,grande,4000,7998000,30,1.725936824933334,0.5818745102387638,1.3401028749999995,3.227200707999998
